Subject,Type,ApEn.copy.IMF3,SampEn.copy,SampEn.copy.IMF2,MF.copx.IMF3
4,Fall,0.076145513,0.301813617,0.235960978,0.266666667
4,Fall,0.066544124,0.330966228,0.196233978,0.25
4,Fall,0.069977705,0.460935463,0.137778492,0.333333333
49,Fall,0.096686951,0.473467983,0.172011448,0.433333333
49,Fall,0.090902978,0.407102667,0.175249885,0.35
49,Fall,0.079562031,0.467505365,0.194713958,0.366666667
51,Fall,0.102618999,0.367643159,0.165887613,0.45
51,Fall,0.108874727,0.251139771,0.183012232,0.366666667
51,Fall,0.086316393,0.292630051,0.174097284,0.383333333
52,Fall,0.085544317,0.216742401,0.109064789,0.35
52,Fall,0.086311768,0.333018824,0.111200929,0.333333333
52,Fall,0.068119475,0.247328495,0.12013462,0.366666667
56,Fall,0.085107655,0.547708981,0.163619199,0.4
56,Fall,0.099998144,0.448446644,0.158226896,0.3
56,Fall,0.111462864,0.442197158,0.179034717,0.416666667
64,Fall,0.125744551,0.3615583,0.12860037,0.6
64,Fall,0.147876,0.335338824,0.146639765,0.6
64,Fall,0.085144414,0.358078178,0.125565568,0.616666667
72,Fall,0.111535699,0.551860133,0.195594256,0.333333333
72,Fall,0.10194525,0.484039351,0.149007288,0.4
72,Fall,0.081229997,0.468265717,0.162115416,0.45
75,Fall,0.098758442,0.327323484,0.17612273,0.316666667
75,Fall,0.08826584,0.270796552,0.197819625,0.316666667
75,Fall,0.109778943,0.332829662,0.146943128,0.416666667
78,Fall,0.078857197,0.368965079,0.211743823,0.483333333
78,Fall,0.070122467,0.30965853,0.147586208,0.466666667
78,Fall,0.155404809,0.194709556,0.320618214,0.466666667
79,Fall,0.103622585,0.526332101,0.129686099,0.433333333
79,Fall,0.101882971,0.423179601,0.106877041,0.366666667
79,Fall,0.103628581,0.467277842,0.167236326,0.366666667
81,Fall,0.06789321,0.371489288,0.07286985,0.35
81,Fall,0.065039314,0.415194807,0.06709751,0.366666667
81,Fall,0.077672979,0.367902699,0.058273896,0.383333333
82,Fall,0.081807128,0.381316465,0.065816001,0.333333333
82,Fall,0.081807128,0.381316465,0.065816001,0.333333333
82,Fall,0.062241316,0.430446114,0.117289363,0.383333333
85,Fall,0.10399731,0.384259966,0.147023187,0.5
85,Fall,0.080254674,0.391455744,0.245045942,0.433333333
85,Fall,0.097033844,0.40762833,0.173570356,0.516666667
92,Fall,0.09239934,0.431814465,0.174938115,0.5
92,Fall,0.088746051,0.472747058,0.202962153,0.5
92,Fall,0.089836211,0.326882222,0.195462622,0.516666667
95,Fall,0.084937438,0.477306497,0.168431842,0.466666667
95,Fall,0.076354087,0.469102506,0.11852881,0.416666667
95,Fall,0.099537461,0.418063486,0.161445456,0.416666667
100,Fall,0.078888286,0.448093953,0.109617617,0.3
100,Fall,0.090156419,0.269072244,0.137256137,0.4
100,Fall,0.086083494,0.343149493,0.133492968,0.35
102,Fall,0.113883831,0.460823875,0.201750242,0.533333333
102,Fall,0.107150564,0.400668851,0.242784903,0.5
102,Fall,0.110845664,0.391882375,0.156773299,0.566666667
105,Fall,0.070777005,0.369783419,0.171024144,0.366666667
105,Fall,0.082892907,0.526223616,0.146160436,0.4
105,Fall,0.092220008,0.473433105,0.17623707,0.3
108,Fall,0.118002852,0.328199658,0.129910288,0.45
108,Fall,0.098560433,0.359355867,0.14276648,0.466666667
108,Fall,0.118671626,0.433400479,0.108030372,0.45
110,Fall,0.099299521,0.477300164,0.122959864,0.366666667
110,Fall,0.111051241,0.503574394,0.187807005,0.4
110,Fall,0.105308923,0.511704984,0.164091515,0.4
113,Fall,0.069523001,0.346691033,0.111806508,0.466666667
113,Fall,0.061446465,0.482500752,0.154036225,0.366666667
113,Fall,0.095315163,0.320159506,0.144965323,0.25
121,Fall,0.070109342,0.544648503,0.124528043,0.4
121,Fall,0.069637777,0.416717621,0.175577001,0.316666667
121,Fall,0.04524279,0.426715277,0.152702703,0.4
132,Fall,0.092236848,0.428821779,0.128339237,0.516666667
132,Fall,0.103119025,0.44571091,0.139804042,0.366666667
132,Fall,0.105500721,0.445802065,0.183058027,0.333333333
149,Fall,0.110315533,0.507051977,0.208405702,0.433333333
149,Fall,0.08637205,0.488908584,0.130954761,0.416666667
149,Fall,0.082790008,0.44710391,0.20288684,0.45
150,Fall,0.09224352,0.329023592,0.118450099,0.416666667
150,Fall,0.097646879,0.270147573,0.175126136,0.383333333
150,Fall,0.08622401,0.32391961,0.116694661,0.366666667
157,Fall,0.114030841,0.529680678,0.189641991,0.483333333
157,Fall,0.104995606,0.426324748,0.15479782,0.466666667
157,Fall,0.1027413,0.4495694,0.1512281,0.4333333
14,Old,0.121172614,0.467228129,0.148845736,0.483333333
14,Old,0.131946719,0.384860774,0.260914462,0.533333333
14,Old,0.090837103,0.380376927,0.169430253,0.483333333
41,Old,0.099287072,0.608721708,0.131290923,0.433333333
41,Old,0.107206203,0.579904476,0.141802068,0.433333333
41,Old,0.083184478,0.515443355,0.197242988,0.266666667
42,Old,0.07796692,0.409629647,0.161150016,0.333333333
42,Old,0.068188186,0.399773337,0.158600034,0.366666667
42,Old,0.075301796,0.370189333,0.098359722,0.366666667
43,Old,0.085808473,0.488390623,0.146238996,0.5
43,Old,0.102577502,0.513504565,0.104573631,0.5
43,Old,0.100763188,0.369744065,0.14044949,0.5
44,Old,0.117882947,0.571744767,0.205660217,0.466666667
44,Old,0.1366831,0.605716145,0.324520372,0.483333333
44,Old,0.141664841,0.584197078,0.197860866,0.483333333
45,Old,0.086482877,0.504504325,0.094130685,0.4
45,Old,0.126167646,0.457242389,0.126730424,0.433333333
45,Old,0.094900524,0.434651408,0.209439471,0.466666667
46,Old,0.139864364,0.546595539,0.120311041,0.45
46,Old,0.12418901,0.496123168,0.207720826,0.566666667
46,Old,0.09488485,0.536751155,0.229039327,0.466666667
47,Old,0.100349935,0.585557156,0.137579882,0.4
47,Old,0.077965978,0.518069441,0.153806396,0.383333333
47,Old,0.080912814,0.370040256,0.145493339,0.316666667
50,Old,0.09739372,0.363716856,0.119082284,0.35
50,Old,0.080518318,0.259026784,0.091931326,0.283333333
50,Old,0.074872486,0.31288528,0.204131331,0.3
58,Old,0.09002261,0.384379295,0.081663662,0.533333333
58,Old,0.076322711,0.495373548,0.042897855,0.4
58,Old,0.109418239,0.449160836,0.148904323,0.483333333
65,Old,0.109570377,0.438821163,0.254082346,0.466666667
65,Old,0.086997611,0.393602959,0.199234238,0.583333333
65,Old,0.075463719,0.289210844,0.174011221,0.383333333
67,Old,0.074462018,0.487524639,0.10752904,0.35
67,Old,0.076969646,0.420126065,0.164392151,0.316666667
67,Old,0.069657674,0.422615393,0.119423133,0.433333333
68,Old,0.07046732,0.463045426,0.121224163,0.416666667
68,Old,0.068999493,0.348150121,0.133975003,0.366666667
68,Old,0.07392287,0.455990614,0.096648441,0.433333333
69,Old,0.134044298,0.591810829,0.1086473,0.416666667
69,Old,0.130663374,0.581641779,0.239947342,0.45
69,Old,0.134475683,0.538381041,0.168863395,0.466666667
70,Old,0.101779172,0.585161949,0.179523663,0.433333333
70,Old,0.123302276,0.464579015,0.105696929,0.466666667
70,Old,0.118579152,0.546034135,0.125200847,0.433333333
71,Old,0.099898196,0.215825969,0.118241215,0.416666667
71,Old,0.086551558,0.23342201,0.170807871,0.366666667
71,Old,0.115823049,0.30558031,0.25133871,0.316666667
73,Old,0.088997662,0.470959521,0.289467792,0.333333333
73,Old,0.108734871,0.549008683,0.165580189,0.35
73,Old,0.109384977,0.468475762,0.196824502,0.4
74,Old,0.080553885,0.479889869,0.098079787,0.35
74,Old,0.092868165,0.543269975,0.120343186,0.45
74,Old,0.078997989,0.558735862,0.117982544,0.383333333
76,Old,0.110295233,0.548239256,0.171465099,0.433333333
76,Old,0.092424974,0.545492655,0.156016687,0.483333333
76,Old,0.102435365,0.560631882,0.187262277,0.483333333
77,Old,0.092158495,0.355308281,0.20115462,0.433333333
77,Old,0.095096339,0.390309911,0.132302939,0.433333333
77,Old,0.109879555,0.497850875,0.26391337,0.45
83,Old,0.075087172,0.33573326,0.099877983,0.333333333
83,Old,0.096906973,0.365145643,0.103276337,0.35
83,Old,0.099385325,0.352400323,0.151660344,0.25
84,Old,0.13183958,0.453701913,0.127174459,0.55
84,Old,0.083957347,0.435632833,0.176529032,0.483333333
84,Old,0.115577621,0.453638298,0.249071169,0.516666667
87,Old,0.139548645,0.292511694,0.2643377,0.433333333
87,Old,0.122790158,0.405055948,0.151744204,0.516666667
87,Old,0.138800895,0.317282161,0.227624843,0.55
88,Old,0.075022938,0.351154523,0.16516719,0.3
88,Old,0.078171788,0.378852327,0.196202884,0.4
88,Old,0.066854946,0.371186428,0.186286989,0.416666667
91,Old,0.147537899,0.520764011,0.255870835,0.55
91,Old,0.144194454,0.533762981,0.315069432,0.316666667
91,Old,0.119380861,0.528370996,0.258244938,0.433333333
93,Old,0.114644189,0.348748853,0.242216312,0.616666667
93,Old,0.097215122,0.421384229,0.226312631,0.483333333
93,Old,0.097374136,0.450915878,0.186071475,0.583333333
94,Old,0.08195927,0.403885355,0.185044021,0.466666667
94,Old,0.082496926,0.412160386,0.135666577,0.416666667
94,Old,0.100306331,0.478439427,0.200461249,0.45
96,Old,0.10042635,0.531486821,0.119730017,0.483333333
96,Old,0.111357625,0.526119549,0.211137472,0.45
96,Old,0.109956217,0.488363783,0.143232395,0.483333333
98,Old,0.112291727,0.523128821,0.16905149,0.516666667
98,Old,0.093892518,0.511138228,0.266872666,0.516666667
98,Old,0.142198538,0.544207627,0.133975744,0.583333333
103,Old,0.087162143,0.394018084,0.073412733,0.383333333
103,Old,0.082451402,0.333459184,0.153894873,0.35
103,Old,0.070956072,0.283279108,0.156695784,0.35
104,Old,0.075372259,0.553726934,0.164444039,0.533333333
104,Old,0.081869721,0.547867161,0.231333807,0.633333333
104,Old,0.096612765,0.534361441,0.17726629,0.5
106,Old,0.087027643,0.417807141,0.252387238,0.466666667
106,Old,0.140427214,0.427055574,0.215138227,0.466666667
106,Old,0.09596943,0.295912404,0.215767047,0.4
107,Old,0.060626445,0.404850627,0.080398342,0.366666667
107,Old,0.09022003,0.346932821,0.125847832,0.45
107,Old,0.062012992,0.45768767,0.145552374,0.366666667
111,Old,0.102146391,0.537951224,0.211861562,0.516666667
111,Old,0.177762231,0.418078925,0.25812283,0.466666667
111,Old,0.133500201,0.494233816,0.239953866,0.616666667
112,Old,0.100227305,0.446134079,0.201248562,0.333333333
112,Old,0.086807447,0.521386658,0.101252808,0.516666667
112,Old,0.109460076,0.455268593,0.264540113,0.366666667
120,Old,0.077745438,0.316374137,0.229564948,0.433333333
120,Old,0.081065189,0.413589011,0.11183514,0.283333333
120,Old,0.080388645,0.404896029,0.116389387,0.35
133,Old,0.102752439,0.4267958,0.202001477,0.516666667
133,Old,0.134817124,0.449473804,0.217642197,0.583333333
133,Old,0.131513019,0.437428826,0.195366364,0.516666667
145,Old,0.106447282,0.24539827,0.176115855,0.45
145,Old,0.098875897,0.255820863,0.14211681,0.433333333
145,Old,0.079214539,0.286065339,0.107807889,0.45
146,Old,0.087897621,0.327496861,0.137510351,0.35
146,Old,0.085370815,0.307451758,0.206167093,0.35
146,Old,0.073383909,0.212200038,0.195875569,0.4
148,Old,0.086034714,0.395217537,0.252750222,0.433333333
148,Old,0.084373932,0.239177045,0.332978732,0.466666667
148,Old,0.085647341,0.397078771,0.085948176,0.316666667
151,Old,0.104575816,0.423552844,0.284865543,0.416666667
151,Old,0.105925916,0.438613312,0.1351865,0.483333333
151,Old,0.106343182,0.438812498,0.125083024,0.4
153,Old,0.121380415,0.424732279,0.152164021,0.333333333
153,Old,0.136432622,0.250741313,0.211862409,0.383333333
153,Old,0.08707584,0.445733565,0.20090074,0.333333333
154,Old,0.109349456,0.504853348,0.136193144,0.266666667
154,Old,0.084100392,0.46804442,0.115909373,0.483333333
154,Old,0.079176095,0.441925385,0.107790898,0.516666667
155,Old,0.050300529,0.502744459,0.039101676,0.366666667
155,Old,0.079295894,0.311391777,0.0948009,0.4
155,Old,0.085589762,0.507312527,0.202806691,0.416666667
156,Old,0.102274398,0.452051966,0.23012153,0.45
156,Old,0.077170867,0.512574493,0.231544451,0.516666667
156,Old,0.099553294,0.427986047,0.249558963,0.483333333
158,Old,0.07642441,0.4003725,0.1537341,0.45
158,Old,0.079290206,0.360080353,0.209274041,0.366666667
158,Old,0.081278375,0.472621749,0.142834507,0.416666667
